GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.api.model,FerramentaEntity,77,3,0,0,10,1,16,1,16,1
demo,com.example.demo.api.model,MaterialConstrucaoEntity.MaterialConstrucaoEntityBuilder,73,0,0,0,1,0,10,0,10,0
demo,com.example.demo.api.model,FerramentaEntity.FerramentaEntityBuilder,73,0,0,0,1,0,10,0,10,0
demo,com.example.demo.api.model,FilialEntity,8,72,0,0,0,11,2,15,2,15
demo,com.example.demo.api.model,MaterialConstrucaoEntity,77,3,0,0,10,1,16,1,16,1
demo,com.example.demo.api.model,FilialEntity.FilialEntityBuilder,28,46,0,0,0,1,3,7,3,7
demo,com.example.demo.api.service,JwtService.JwtClock,2,3,0,0,1,1,1,1,1,1
demo,com.example.demo.api.service,JwtService,119,8,8,0,29,2,14,1,10,1
demo,com.example.demo.api.service,FilialService,136,215,19,29,46,64,20,22,6,12
demo,com.example.demo.api.service,MaterialConstrucaoService,175,9,12,0,49,1,17,1,11,1
demo,com.example.demo.api.service,FerramentaService,175,9,12,0,49,1,17,1,11,1
demo,com.example.demo.api.dto,MaterialConstrucaoDTO.MaterialConstrucaoDTOBuilder,73,0,0,0,1,0,10,0,10,0
demo,com.example.demo.api.dto,FilialResumoDTO.FilialResumoDTOBuilder,17,37,0,0,0,1,2,6,2,6
demo,com.example.demo.api.dto,FilialDetalheDTO,19,31,0,0,2,6,5,6,5,6
demo,com.example.demo.api.dto,FilialResumoDTO,4,56,0,0,0,9,1,12,1,12
demo,com.example.demo.api.dto,FilialDetalheDTO.FilialDetalheDTOBuilder,12,35,0,0,0,1,1,6,1,6
demo,com.example.demo.api.dto,FerramentaDTO,80,0,0,0,11,0,17,0,17,0
demo,com.example.demo.api.dto,FerramentaDTO.FerramentaDTOBuilder,73,0,0,0,1,0,10,0,10,0
demo,com.example.demo.api.dto,MaterialConstrucaoDTO,80,0,0,0,11,0,17,0,17,0
demo,com.example.demo.api.controller,FerramentaController,55,6,2,0,13,1,8,1,7,1
demo,com.example.demo.api.controller,MaterialConstrucaoController,55,6,2,0,13,1,8,1,7,1
demo,com.example.demo.api.controller,FilialController,45,16,2,0,11,3,7,2,6,2
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.example.demo.api.security,FilialDetailsService,20,6,0,0,3,1,2,1,2,1
demo,com.example.demo.api.security,FilialDetails,32,0,0,0,8,0,8,0,8,0
demo,com.example.demo.api.security,JwtAuthenticationFilter,122,24,9,1,37,6,5,3,0,3
demo,com.example.demo.api.security,SecurityConfig,0,100,0,0,0,19,0,9,0,9
